"","ITIS_TSN","ScientificName_ITIS","WoRMS_AphiaID","ScientificName_WoRMS","tblcodeid_Aphia_fn","tblcodeid_Aphia","WoRMS_AphiaID_Valid"
"197",NA,NA,111604,"Alcyonidium parasiticum",5017,5017,111604
"198",NA,NA,117228,"Diphasia",5018,5018,117228
"199",NA,NA,140464,"Modiolus barbatus",5019,5019,140464
"200",NA,NA,116999,"Aglaophenia",5020,5020,116999
"201",NA,NA,123244,"Pontaster",5021,5021,123244
"202",NA,NA,107441,"Xantho pilipes",5022,5022,107441
"203",NA,NA,130801,"Lepidonotus squamatus",5023,5023,130801
"204",NA,NA,126220,"Stomias",5024,5024,126220
"205",NA,NA,157039,"Antalis entale stimpsoni",5025,5025,157039
"206",NA,NA,123970,"Henricia oculata",5026,5026,123970
"207",NA,NA,100854,"Stomphia coccinea",5027,5027,100854
"208",NA,NA,103788,"Molgula manhattensis",5028,5028,103788
"209",NA,NA,107154,"Galathea squamifera",5029,5029,107154
"210",NA,NA,140513,"Nassarius reticulatus",5030,5030,876821
"211",NA,NA,122641,"Malacobdella grossa",5031,5031,122641
"212",NA,NA,140627,"Acanthodoris pilosa",5032,5032,140627
"213",NA,NA,101160,"Priapulus caudatus",5033,5033,101160
"214",NA,NA,107739,"Upogebia deltaura",5034,5034,107739
"215",NA,NA,246149,"Polititapes",5035,5035,246149
"216",NA,NA,140590,"Nucula nucleus",5036,5036,140590
"217",NA,NA,124612,"Cucumaria frondosa",5037,5037,124612
"218",NA,NA,107563,"Pontophilus norvegicus",5038,5038,107563
"219",NA,NA,106048,"Lepadidae",5039,5039,106048
"220",NA,NA,132072,"Suberites",5040,5040,132072
"221",NA,NA,100681,"Sagartiidae",5041,5041,100681
"222",NA,NA,135144,"Caryophyllia (Caryophyllia) smithii",5042,5042,135144
"223",NA,NA,140295,"Lutraria lutraria",5043,5043,140295
"224",NA,NA,155156,"Lygdamis murata",5044,5044,155156
"225",NA,NA,140105,"Panomya norvegica",5045,5045,140105
"226",NA,NA,181364,"Venerupis corrugata",5046,5046,181364
"227",NA,NA,150520,"Nymphon brevirostre",5047,5047,150520
"228",NA,NA,106903,"Hyas",5048,5048,106903
"229",NA,NA,130387,"Neanthes fucata",5049,5049,130387
"230",NA,NA,124465,"Leptosynapta inhaerens",5050,5050,124465
"231",NA,NA,123260,"Luidia",5051,5051,123260
"232",NA,NA,103894,"Pelonaia corrugata",5052,5052,103894
"233",NA,NA,100834,"Urticina felina",5053,5053,100834
"234",NA,NA,124147,"Pteraster militaris",5054,5054,124147
"235",NA,NA,140767,"Barnea candida",5055,5055,140767
"236",NA,NA,100994,"Sagartia troglodytes",5071,5071,100994
"237",NA,NA,138990,"Acanthocardia aculeata",5072,5072,138990
"238",NA,NA,140474,"Musculus niger",5073,5073,140474
"239",NA,NA,107294,"Ebalia cranchii",5074,5074,107294
"240",NA,NA,138339,"Philine",5075,5075,138339
"241",NA,NA,130987,"Ditrupa arietina",5076,5076,130987
"242",NA,NA,107562,"Philocheras trispinosus",5077,5077,107562
